statistic_label,month,nace_group,unit,value,mom_change
Retail Sales Index Volume Adjusted,2021-01-01,Department stores (4719),Base Year 2021=100,65.1,
Retail Sales Index Volume Adjusted,2021-02-01,Department stores (4719),Base Year 2021=100,83.0,27.49615975422428
Retail Sales Index Volume Adjusted,2021-03-01,Department stores (4719),Base Year 2021=100,77.3,-6.867469879518073
Retail Sales Index Volume Adjusted,2021-04-01,Department stores (4719),Base Year 2021=100,55.8,-27.813712807244507
Retail Sales Index Volume Adjusted,2021-05-01,Department stores (4719),Base Year 2021=100,107.4,92.47311827956992
Retail Sales Index Volume Adjusted,2021-06-01,Department stores (4719),Base Year 2021=100,128.9,20.01862197392923
Retail Sales Index Volume Adjusted,2021-07-01,Department stores (4719),Base Year 2021=100,112.5,-12.723041117145073
Retail Sales Index Volume Adjusted,2021-08-01,Department stores (4719),Base Year 2021=100,110.2,-2.0444444444444376
Retail Sales Index Volume Adjusted,2021-09-01,Department stores (4719),Base Year 2021=100,112.7,2.268602540834852
Retail Sales Index Volume Adjusted,2021-10-01,Department stores (4719),Base Year 2021=100,112.2,-0.4436557231588312
Retail Sales Index Volume Adjusted,2021-11-01,Department stores (4719),Base Year 2021=100,108.2,-3.5650623885918
Retail Sales Index Volume Adjusted,2021-12-01,Department stores (4719),Base Year 2021=100,107.0,-1.1090573012939031
Retail Sales Index Volume Adjusted,2022-01-01,Department stores (4719),Base Year 2021=100,128.7,20.280373831775698
Retail Sales Index Volume Adjusted,2022-02-01,Department stores (4719),Base Year 2021=100,128.3,-0.3108003108002966
Retail Sales Index Volume Adjusted,2022-03-01,Department stores (4719),Base Year 2021=100,128.4,0.0779423226812126
Retail Sales Index Volume Adjusted,2022-04-01,Department stores (4719),Base Year 2021=100,138.4,7.78816199376946
Retail Sales Index Volume Adjusted,2022-05-01,Department stores (4719),Base Year 2021=100,126.9,-8.309248554913296
Retail Sales Index Volume Adjusted,2022-06-01,Department stores (4719),Base Year 2021=100,125.6,-1.0244286840031647
Retail Sales Index Volume Adjusted,2022-07-01,Department stores (4719),Base Year 2021=100,120.1,-4.378980891719742
Retail Sales Index Volume Adjusted,2022-08-01,Department stores (4719),Base Year 2021=100,113.1,-5.828476269775185
Retail Sales Index Volume Adjusted,2022-09-01,Department stores (4719),Base Year 2021=100,117.9,4.244031830238737
Retail Sales Index Volume Adjusted,2022-10-01,Department stores (4719),Base Year 2021=100,118.8,0.7633587786259444
Retail Sales Index Volume Adjusted,2022-11-01,Department stores (4719),Base Year 2021=100,119.5,0.5892255892255838
Retail Sales Index Volume Adjusted,2022-12-01,Department stores (4719),Base Year 2021=100,116.1,-2.845188284518829
Retail Sales Index Volume Adjusted,2023-01-01,Department stores (4719),Base Year 2021=100,120.2,3.531438415159349
Retail Sales Index Volume Adjusted,2023-02-01,Department stores (4719),Base Year 2021=100,127.2,5.823627287853572
Retail Sales Index Volume Adjusted,2023-03-01,Department stores (4719),Base Year 2021=100,122.8,-3.459119496855345
Retail Sales Index Volume Adjusted,2023-04-01,Department stores (4719),Base Year 2021=100,129.9,5.781758957654737
Retail Sales Index Volume Adjusted,2023-05-01,Department stores (4719),Base Year 2021=100,121.3,-6.620477290223259
Retail Sales Index Volume Adjusted,2023-06-01,Department stores (4719),Base Year 2021=100,118.0,-2.7205276174773307
Retail Sales Index Volume Adjusted,2023-07-01,Department stores (4719),Base Year 2021=100,110.3,-6.525423728813562
Retail Sales Index Volume Adjusted,2023-08-01,Department stores (4719),Base Year 2021=100,112.7,2.1758839528558616
Retail Sales Index Volume Adjusted,2023-09-01,Department stores (4719),Base Year 2021=100,107.0,-5.057675244010651
Retail Sales Index Volume Adjusted,2023-10-01,Department stores (4719),Base Year 2021=100,106.7,-0.2803738317756932
Retail Sales Index Volume Adjusted,2023-11-01,Department stores (4719),Base Year 2021=100,104.6,-1.9681349578256846
Retail Sales Index Volume Adjusted,2023-12-01,Department stores (4719),Base Year 2021=100,107.2,2.48565965583174
Retail Sales Index Volume Adjusted,2024-01-01,Department stores (4719),Base Year 2021=100,109.9,2.518656716417911
Retail Sales Index Volume Adjusted,2024-02-01,Department stores (4719),Base Year 2021=100,108.9,-0.9099181073703333
Retail Sales Index Volume Adjusted,2024-03-01,Department stores (4719),Base Year 2021=100,105.4,-3.2139577594123003
Retail Sales Index Volume Adjusted,2024-04-01,Department stores (4719),Base Year 2021=100,122.2,15.939278937381406
Retail Sales Index Volume Adjusted,2024-05-01,Department stores (4719),Base Year 2021=100,115.6,-5.400981996726683
Retail Sales Index Volume Adjusted,2024-06-01,Department stores (4719),Base Year 2021=100,110.9,-4.065743944636669
Retail Sales Index Volume Adjusted,2024-07-01,Department stores (4719),Base Year 2021=100,115.2,3.877366997294862
Retail Sales Index Volume Adjusted,2024-08-01,Department stores (4719),Base Year 2021=100,114.1,-0.954861111111116
Retail Sales Index Volume Adjusted,2024-09-01,Department stores (4719),Base Year 2021=100,114.2,0.08764241893077784
Retail Sales Index Volume Adjusted,2024-10-01,Department stores (4719),Base Year 2021=100,113.0,-1.0507880910682998
Retail Sales Index Volume Adjusted,2024-11-01,Department stores (4719),Base Year 2021=100,114.9,1.6814159292035447
Retail Sales Index Volume Adjusted,2024-12-01,Department stores (4719),Base Year 2021=100,113.6,-1.1314186248912228
Retail Sales Index Volume Adjusted,2025-01-01,Department stores (4719),Base Year 2021=100,106.5,-6.25
Retail Sales Index Volume Adjusted,2025-02-01,Department stores (4719),Base Year 2021=100,113.8,6.854460093896719
Retail Sales Index Volume Adjusted,2025-03-01,Department stores (4719),Base Year 2021=100,108.5,-4.65729349736379
Retail Sales Index Volume Adjusted,2025-04-01,Department stores (4719),Base Year 2021=100,115.2,6.175115207373283
Retail Sales Index Volume Adjusted,2025-05-01,Department stores (4719),Base Year 2021=100,110.9,-3.732638888888884
Retail Sales Index Volume Adjusted,2025-06-01,Department stores (4719),Base Year 2021=100,112.7,1.623083859332719
Retail Sales Index Volume Adjusted,2025-07-01,Department stores (4719),Base Year 2021=100,112.4,-0.2661934338952898
Retail Sales Index Volume Adjusted,2025-08-01,Department stores (4719),Base Year 2021=100,102.8,-8.54092526690392
Retail Sales Index Volume Adjusted,2025-09-01,Department stores (4719),Base Year 2021=100,112.9,9.824902723735418
Retail Sales Index Volume Adjusted,2025-10-01,Department stores (4719),Base Year 2021=100,113.2,0.26572187776794376
Retail Sales Index Volume Adjusted,2025-11-01,Department stores (4719),Base Year 2021=100,112.9,-0.26501766784452485
Retail Sales Index Volume Adjusted,2025-12-01,Department stores (4719),Base Year 2021=100,112.7,-0.1771479185119551
Retail Sales Index Volume Adjusted,2026-01-01,Department stores (4719),Base Year 2021=100,110.0,-2.395740905057675
Retail Sales Index Volume Adjusted,2026-02-01,Department stores (4719),Base Year 2021=100,111.2,1.090909090909098
Retail Sales Index Volume Adjusted,2021-01-01,Motor trades (45),Base Year 2021=100,83.5,
Retail Sales Index Volume Adjusted,2021-02-01,Motor trades (45),Base Year 2021=100,102.4,22.634730538922156
Retail Sales Index Volume Adjusted,2021-03-01,Motor trades (45),Base Year 2021=100,99.5,-2.83203125
Retail Sales Index Volume Adjusted,2021-04-01,Motor trades (45),Base Year 2021=100,97.4,-2.1105527638190846
Retail Sales Index Volume Adjusted,2021-05-01,Motor trades (45),Base Year 2021=100,110.6,13.55236139630389
Retail Sales Index Volume Adjusted,2021-06-01,Motor trades (45),Base Year 2021=100,106.1,-4.068716094032554
Retail Sales Index Volume Adjusted,2021-07-01,Motor trades (45),Base Year 2021=100,112.0,5.560791705937795
Retail Sales Index Volume Adjusted,2021-08-01,Motor trades (45),Base Year 2021=100,107.6,-3.928571428571437
Retail Sales Index Volume Adjusted,2021-09-01,Motor trades (45),Base Year 2021=100,105.9,-1.579925650557612
Retail Sales Index Volume Adjusted,2021-10-01,Motor trades (45),Base Year 2021=100,104.0,-1.794145420207749
Retail Sales Index Volume Adjusted,2021-11-01,Motor trades (45),Base Year 2021=100,109.8,5.576923076923079
Retail Sales Index Volume Adjusted,2021-12-01,Motor trades (45),Base Year 2021=100,83.4,-24.04371584699453
Retail Sales Index Volume Adjusted,2022-01-01,Motor trades (45),Base Year 2021=100,95.5,14.508393285371701
Retail Sales Index Volume Adjusted,2022-02-01,Motor trades (45),Base Year 2021=100,95.7,0.20942408376962707
Retail Sales Index Volume Adjusted,2022-03-01,Motor trades (45),Base Year 2021=100,93.1,-2.7168234064785857
Retail Sales Index Volume Adjusted,2022-04-01,Motor trades (45),Base Year 2021=100,94.0,0.9667024704618665
Retail Sales Index Volume Adjusted,2022-05-01,Motor trades (45),Base Year 2021=100,95.1,1.1702127659574346
Retail Sales Index Volume Adjusted,2022-06-01,Motor trades (45),Base Year 2021=100,95.2,0.1051524710830698
Retail Sales Index Volume Adjusted,2022-07-01,Motor trades (45),Base Year 2021=100,98.5,3.4663865546218364
Retail Sales Index Volume Adjusted,2022-08-01,Motor trades (45),Base Year 2021=100,100.4,1.9289340101522834
Retail Sales Index Volume Adjusted,2022-09-01,Motor trades (45),Base Year 2021=100,109.5,9.063745019920312
Retail Sales Index Volume Adjusted,2022-10-01,Motor trades (45),Base Year 2021=100,106.1,-3.1050228310502304
Retail Sales Index Volume Adjusted,2022-11-01,Motor trades (45),Base Year 2021=100,103.8,-2.1677662582469392
Retail Sales Index Volume Adjusted,2022-12-01,Motor trades (45),Base Year 2021=100,100.6,-3.0828516377649384
Retail Sales Index Volume Adjusted,2023-01-01,Motor trades (45),Base Year 2021=100,104.6,3.976143141153088
