nace_group,avg_value,avg_mom_change,volatility,avg_value_norm,avg_mom_change_norm,volatility_norm,hidden_value_score
"Retail sale of textiles, clothing and footwear (4751,4771,4772)",125.74,6.08,45.45,1.0,1.0,1.0,80.0
"Retail sale of books, newspapers and stationery (4761,4762)",122.75,1.75,9.89,0.9211081794195252,0.3358895705521472,0.18608377203021287,69.48432760259952
"Other retail sales (4753,4763 to 4765,4776 to 4778)",122.21,1.38,6.78,0.9068601583113456,0.27914110429447847,0.11490043488212405,68.28063707667482
"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",121.43,1.36,6.47,0.886279683377309,0.2760736196319018,0.10780498970016021,67.38906264509227
Retail sale of furniture and lighting (4759),114.22,1.2,4.9,0.6960422163588391,0.25153374233128833,0.07186999313344015,58.68818085507406
Department stores (4719),113.09,1.62,14.19,0.66622691292876,0.3159509202453988,0.28450446326390477,55.34840402510507
Motor trades (45),110.29,0.76,6.23,0.5923482849604224,0.18404907975460122,0.1023117418173495,51.05115577828306
"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",105.62,0.69,5.61,0.46912928759894473,0.1733128834355828,0.08812085145342184,45.41435183312947
Retail sale of automotive fuel (4730),103.43,0.53,3.32,0.4113456464379949,0.1487730061349693,0.03570611123826962,43.003487079668304
"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.92,0.39,4.44,0.3187335092348285,0.12730061349693253,0.06134126802471962,37.57170402746552
"Retail sale of hardware, paints and glass (4752)",95.63,0.25,6.17,0.20554089709762516,0.10582822085889569,0.10093842984664682,30.934559502521548
"Retail sale of food (4711,4721 to 4729)",95.61,-0.13,1.76,0.20501319261213716,0.047546012269938646,0.0,30.889704096994024
"Retail sale of electrical goods (4741 to 4743,4754)",94.47,0.03,5.98,0.1749340369393139,0.07208588957055213,0.09658960860608835,28.463245625116684
"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",87.84,-0.44,3.26,0.0,0.0,0.03433279926756694,19.313344014648663
